Symbol,RealtimePrice,RealtimeTime,Close,MA5,MA10,CloseVsMA5,CloseVsMA10,Volume,HistoryCsv
0050.TW,101.95,13:30:00,101.95,101.3,103.55499999999999,above,below,76563613,C:\codex\stock_data\history\0050_TW.csv
0056.TW,50.6,13:30:00,50.6,50.102,51.346000000000004,above,below,43124385,C:\codex\stock_data\history\0056_TW.csv
00878.TW,32.05,13:30:00,32.05,31.734,32.145,above,below,52341624,C:\codex\stock_data\history\00878_TW.csv
00981A.TW,30.6,13:30:00,30.6,30.264,30.833,above,below,279475644,C:\codex\stock_data\history\00981A_TW.csv
1102.TW,35.2,13:30:00,35.2,34.35,34.230000000000004,above,above,15449386,C:\codex\stock_data\history\1102_TW.csv
1215.TW,118.0,13:30:00,118.0,116.7,117.15,above,above,1080999,C:\codex\stock_data\history\1215_TW.csv
1216.TW,76.5,13:30:00,76.5,74.7,74.21,above,above,14052495,C:\codex\stock_data\history\1216_TW.csv
1301.TW,45.25,13:30:00,45.25,44.97,47.745,above,below,21498179,C:\codex\stock_data\history\1301_TW.csv
1303.TW,106.5,13:30:00,106.5,98.98,104.33999999999999,above,above,54209344,C:\codex\stock_data\history\1303_TW.csv
1319.TW,99.5,13:30:00,99.5,102.25999999999999,97.96,below,above,4951777,C:\codex\stock_data\history\1319_TW.csv
1336.TW,14.65,13:30:00,14.65,14.030000000000001,14.05,above,above,331000,C:\codex\stock_data\history\1336_TW.csv
1402.TW,27.0,13:30:00,27.0,27.3,27.02,below,below,30282505,C:\codex\stock_data\history\1402_TW.csv
1471.TW,10.7,13:30:00,10.7,10.85,11.37,below,below,525736,C:\codex\stock_data\history\1471_TW.csv
1477.TW,224.0,13:30:00,224.0,224.4,225.9,below,below,1094327,C:\codex\stock_data\history\1477_TW.csv
1503.TW,220.0,13:30:00,220.0,222.3,230.75,below,below,3354505,C:\codex\stock_data\history\1503_TW.csv
1513.TW,167.0,13:30:00,167.0,166.9,171.3,above,below,6604951,C:\codex\stock_data\history\1513_TW.csv
1514.TW,119.5,13:30:00,119.5,121.4,127.8,below,below,3875069,C:\codex\stock_data\history\1514_TW.csv
1519.TW,791.0,13:30:00,791.0,802.6,842.9,below,below,2283267,C:\codex\stock_data\history\1519_TW.csv
1569.TW,48.55,13:30:00,48.55,48.87,50.615,below,below,565000,C:\codex\stock_data\history\1569_TW.csv
1582.TW,94.9,13:30:00,94.9,93.04,101.37,above,below,4765987,C:\codex\stock_data\history\1582_TW.csv
1595.TW,73.7,13:30:00,73.7,74.1,75.8,below,below,799000,C:\codex\stock_data\history\1595_TW.csv
1605.TW,37.7,13:30:00,37.7,35.82,38.31,above,below,56774874,C:\codex\stock_data\history\1605_TW.csv
1609.TW,37.3,13:30:00,37.3,36.989999999999995,38.655,above,below,5971219,C:\codex\stock_data\history\1609_TW.csv
1785.TW,141.5,13:30:00,141.5,136.6,140.2,above,above,39350000,C:\codex\stock_data\history\1785_TW.csv
1815.TW,96.2,13:30:00,96.2,94.7,100.45,above,below,17492000,C:\codex\stock_data\history\1815_TW.csv
2002.TW,18.9,13:30:00,18.9,18.71,18.955,above,below,57668073,C:\codex\stock_data\history\2002_TW.csv
2006.TW,68.5,13:30:00,68.5,66.88,66.96000000000001,above,above,4387092,C:\codex\stock_data\history\2006_TW.csv
2027.TW,43.55,13:30:00,43.55,42.66,43.19,above,above,15120012,C:\codex\stock_data\history\2027_TW.csv
2059.TW,6910.0,13:30:00,6910.0,6531.0,5926.5,above,above,1093367,C:\codex\stock_data\history\2059_TW.csv
2105.TW,34.25,13:30:00,34.25,34.3,34.17,below,above,15579011,C:\codex\stock_data\history\2105_TW.csv
2207.TW,461.0,13:30:00,461.0,478.7,480.4,below,below,2591320,C:\codex\stock_data\history\2207_TW.csv
2211.TW,94.4,13:30:00,94.4,93.02000000000001,93.62,above,above,617164,C:\codex\stock_data\history\2211_TW.csv
2301.TW,217.0,13:30:00,217.0,216.2,227.15,above,below,17186180,C:\codex\stock_data\history\2301_TW.csv
2302.TW,34.65,13:30:00,34.65,32.739999999999995,34.3,above,above,1734689,C:\codex\stock_data\history\2302_TW.csv
2303.TW,133.5,13:30:00,133.5,125.1,130.0,above,above,393604121,C:\codex\stock_data\history\2303_TW.csv
2305.TW,25.1,13:30:00,25.1,23.24,23.125,above,above,9609252,C:\codex\stock_data\history\2305_TW.csv
2308.TW,2215.0,13:30:00,2215.0,2249.0,2320.5,below,below,9897155,C:\codex\stock_data\history\2308_TW.csv
2312.TW,34.95,13:30:00,34.95,35.46,38.295,below,below,40835399,C:\codex\stock_data\history\2312_TW.csv
2313.TW,263.0,13:30:00,263.0,265.0,266.85,below,below,133926683,C:\codex\stock_data\history\2313_TW.csv
2314.TW,15.3,13:30:00,15.300000190734863,15.370000076293945,15.844999980926513,below,below,245233,C:\codex\stock_data\history\2314_TW.csv
2316.TW,156.0,13:30:00,156.0,160.3,162.2,below,below,3484756,C:\codex\stock_data\history\2316_TW.csv
2317.TW,260.5,13:30:00,260.5,265.8,281.05,below,below,60260948,C:\codex\stock_data\history\2317_TW.csv
2321.TW,,13:30:00,13.600000381469728,13.520000076293945,14.005000019073487,above,below,5848,C:\codex\stock_data\history\2321_TW.csv
2323.TW,11.2,13:30:00,11.199999809265137,11.039999961853027,11.414999961853027,above,below,9946152,C:\codex\stock_data\history\2323_TW.csv
2324.TW,36.35,13:30:00,36.34999847412109,37.32999954223633,40.21499938964844,below,below,82874425,C:\codex\stock_data\history\2324_TW.csv
2327.TW,855.0,13:30:00,855.0,818.6,806.1,above,above,90466919,C:\codex\stock_data\history\2327_TW.csv
2328.TW,51.7,13:30:00,51.7,51.64,55.529999999999994,above,below,4107340,C:\codex\stock_data\history\2328_TW.csv
2329.TW,53.8,13:30:00,53.8,53.42,56.010000000000005,above,below,5811723,C:\codex\stock_data\history\2329_TW.csv
2330.TW,2310.0,13:30:00,2310.0,2283.0,2332.5,above,below,26306885,C:\codex\stock_data\history\2330_TW.csv
2331.TW,21.3,13:30:00,21.299999237060547,21.31999969482422,22.725,below,below,2762033,C:\codex\stock_data\history\2331_TW.csv
2332.TW,15.5,13:30:00,15.5,15.510000038146975,16.124999904632567,below,below,3070698,C:\codex\stock_data\history\2332_TW.csv
2337.TW,146.5,13:30:00,146.5,142.1,152.2,above,below,26196557,C:\codex\stock_data\history\2337_TW.csv
2338.TW,49.0,13:30:00,49.0,46.809999999999995,50.285000000000004,above,below,5772925,C:\codex\stock_data\history\2338_TW.csv
2340.TW,34.6,13:30:00,34.6,33.62,34.985,above,below,4586261,C:\codex\stock_data\history\2340_TW.csv
2342.TW,40.9,13:30:00,40.9,39.94,41.11,above,below,6056369,C:\codex\stock_data\history\2342_TW.csv
2344.TW,172.0,13:30:00,172.0,157.6,165.95,above,above,213495727,C:\codex\stock_data\history\2344_TW.csv
2345.TW,2335.0,13:30:00,2335.0,2374.0,2439.0,below,below,2813924,C:\codex\stock_data\history\2345_TW.csv
2347.TW,89.1,13:30:00,89.1,89.67999999999999,89.57000000000001,below,below,5607224,C:\codex\stock_data\history\2347_TW.csv
2349.TW,13.3,13:30:00,13.3,13.23,14.02,above,below,3816351,C:\codex\stock_data\history\2349_TW.csv
2351.TW,183.0,13:30:00,183.0,182.7,193.45,above,below,2501051,C:\codex\stock_data\history\2351_TW.csv
2352.TW,31.0,13:30:00,31.0,30.379999923706055,31.405000114440917,above,below,8424002,C:\codex\stock_data\history\2352_TW.csv
2353.TW,36.7,13:30:00,36.7,36.410000000000004,38.42,above,below,42293812,C:\codex\stock_data\history\2353_TW.csv
2354.TW,57.0,13:30:00,57.0,56.94000015258789,59.94999961853027,above,below,5189054,C:\codex\stock_data\history\2354_TW.csv
2355.TW,61.6,13:30:00,61.6,56.239999999999995,57.260000000000005,above,above,44439984,C:\codex\stock_data\history\2355_TW.csv
2356.TW,66.2,13:30:00,66.2,67.52000000000001,73.53999999999999,below,below,41497286,C:\codex\stock_data\history\2356_TW.csv
2357.TW,785.0,13:30:00,785.0,811.8,853.9,below,below,4371037,C:\codex\stock_data\history\2357_TW.csv
2359.TW,134.5,13:30:00,134.5,135.9,139.95,below,below,2295139,C:\codex\stock_data\history\2359_TW.csv
2360.TW,2295.0,13:30:00,2295.0,2307.0,2426.5,below,below,1795530,C:\codex\stock_data\history\2360_TW.csv
2362.TW,48.0,13:30:00,48.0,47.130000305175784,48.05000038146973,above,below,5369200,C:\codex\stock_data\history\2362_TW.csv
2363.TW,58.5,13:30:00,58.5,57.07999954223633,61.02999992370606,above,below,8603504,C:\codex\stock_data\history\2363_TW.csv
2364.TW,69.0,13:30:00,69.0,69.46000061035156,72.44000015258788,below,below,310166,C:\codex\stock_data\history\2364_TW.csv
2365.TW,33.55,13:30:00,33.54999923706055,34.14999923706055,35.55999984741211,below,below,1074219,C:\codex\stock_data\history\2365_TW.csv
2367.TW,62.7,13:30:00,62.7,63.0,63.85,below,below,56773478,C:\codex\stock_data\history\2367_TW.csv
2368.TW,1320.0,13:30:00,1320.0,1388.0,1359.0,below,below,6276215,C:\codex\stock_data\history\2368_TW.csv
2369.TW,33.15,13:30:00,33.150001525878906,31.99000015258789,34.19500045776367,above,below,9895917,C:\codex\stock_data\history\2369_TW.csv
2373.TW,57.4,13:30:00,57.400001525878906,57.220000457763675,57.87000045776367,above,below,21822,C:\codex\stock_data\history\2373_TW.csv
2374.TW,72.1,13:30:00,72.0999984741211,72.53999786376953,77.2099983215332,below,below,3516699,C:\codex\stock_data\history\2374_TW.csv
2375.TW,172.5,13:30:00,172.5,161.4,159.0,above,above,9520700,C:\codex\stock_data\history\2375_TW.csv
2376.TW,342.0,13:30:00,342.0,346.1,365.0,below,below,8171537,C:\codex\stock_data\history\2376_TW.csv
2377.TW,136.5,13:30:00,136.5,134.7,139.2,above,below,22801630,C:\codex\stock_data\history\2377_TW.csv
2379.TW,618.0,13:30:00,618.0,633.0,634.0,below,below,4588937,C:\codex\stock_data\history\2379_TW.csv
2380.TW,6.43,13:30:00,6.429999828338623,5.847999858856201,5.775999927520752,above,above,1643508,C:\codex\stock_data\history\2380_TW.csv
2382.TW,372.0,13:30:00,372.0,374.8,385.85,below,below,24305308,C:\codex\stock_data\history\2382_TW.csv
2383.TW,4830.0,13:30:00,4830.0,4940.0,4917.5,below,below,4224358,C:\codex\stock_data\history\2383_TW.csv
2385.TW,141.0,13:30:00,141.0,138.9,141.45,above,below,6278310,C:\codex\stock_data\history\2385_TW.csv
2387.TW,40.1,13:30:00,40.09999847412109,40.680000305175774,41.73500022888184,below,below,511639,C:\codex\stock_data\history\2387_TW.csv
2388.TW,66.1,13:30:00,66.1,65.42,69.28999999999999,above,below,3794837,C:\codex\stock_data\history\2388_TW.csv
2390.TW,12.45,13:30:00,12.449999809265137,12.010000038146973,12.10500011444092,above,above,1597690,C:\codex\stock_data\history\2390_TW.csv
2392.TW,39.35,13:30:00,39.34999847412109,38.65,40.37000007629395,above,below,2721673,C:\codex\stock_data\history\2392_TW.csv
2393.TW,70.9,13:30:00,70.9000015258789,68.36000061035156,66.90999984741211,above,above,5569251,C:\codex\stock_data\history\2393_TW.csv
2395.TW,473.0,13:30:00,473.0,472.6,492.6,above,below,1177923,C:\codex\stock_data\history\2395_TW.csv
2397.TW,62.2,13:30:00,62.20000076293945,61.78000030517578,63.48000030517578,above,below,356098,C:\codex\stock_data\history\2397_TW.csv
2399.TW,47.65,13:30:00,47.650001525878906,46.040000915527344,47.970000457763675,above,below,5279772,C:\codex\stock_data\history\2399_TW.csv
2401.TW,28.6,13:30:00,28.600000381469727,26.65,27.670000076293945,above,above,17450472,C:\codex\stock_data\history\2401_TW.csv
2402.TW,66.6,13:30:00,66.5999984741211,62.83999938964844,65.80999984741212,above,above,9401884,C:\codex\stock_data\history\2402_TW.csv
2404.TW,1310.0,13:30:00,1310.0,1191.0,1187.0,above,above,6083912,C:\codex\stock_data\history\2404_TW.csv
2405.TW,18.7,13:30:00,18.700000762939453,18.940000152587892,19.575000190734865,below,below,3859350,C:\codex\stock_data\history\2405_TW.csv
2406.TW,39.0,13:30:00,39.0,36.25,36.410000228881835,above,above,112503716,C:\codex\stock_data\history\2406_TW.csv
2408.TW,374.0,13:30:00,374.0,349.9,370.7,above,above,94572799,C:\codex\stock_data\history\2408_TW.csv
2409.TW,23.5,13:30:00,23.5,23.6,25.304999923706056,below,below,299900469,C:\codex\stock_data\history\2409_TW.csv
2412.TW,145.0,13:30:00,145.0,142.9,142.05,above,above,9051481,C:\codex\stock_data\history\2412_TW.csv
2413.TW,61.2,13:30:00,61.20000076293945,57.18000030517578,55.12999992370605,above,above,23266357,C:\codex\stock_data\history\2413_TW.csv
