Symbol,TargetDate,LatestDate,Updated,RanThisTime,SucceededThisTime,Error
0050.TW,2026-05-22,2026-05-22,True,False,False,
0056.TW,2026-05-22,2026-05-22,True,False,False,
00878.TW,2026-05-22,2026-05-21,False,False,False,
00981A.TW,2026-05-22,2026-05-22,True,False,False,
1102.TW,2026-05-22,2026-05-22,True,False,False,
1215.TW,2026-05-22,2026-05-22,True,False,False,
1216.TW,2026-05-22,2026-05-22,True,False,False,
1301.TW,2026-05-22,2026-05-22,True,False,False,
1303.TW,2026-05-22,2026-05-22,True,False,False,
1319.TW,2026-05-22,2026-05-22,True,False,False,
1336.TW,2026-05-22,2026-05-22,True,False,False,
1402.TW,2026-05-22,2026-05-22,True,False,False,
1471.TW,2026-05-22,2026-05-22,True,False,False,
1477.TW,2026-05-22,2026-05-22,True,False,False,
1569.TW,2026-05-22,2026-05-22,True,False,False,
1582.TW,2026-05-22,2026-05-22,True,False,False,
1595.TW,2026-05-22,2026-05-22,True,False,False,
1785.TW,2026-05-22,2026-05-22,True,False,False,
1815.TW,2026-05-22,2026-05-22,True,False,False,
2002.TW,2026-05-22,2026-05-22,True,False,False,
2006.TW,2026-05-22,2026-05-22,True,False,False,
2027.TW,2026-05-22,2026-05-22,True,False,False,
2059.TW,2026-05-22,2026-05-22,True,False,False,
2105.TW,2026-05-22,2026-05-22,True,False,False,
2207.TW,2026-05-22,2026-05-22,True,False,False,
2211.TW,2026-05-22,2026-05-22,True,False,False,
2301.TW,2026-05-22,2026-05-22,True,False,False,
2302.TW,2026-05-22,2026-05-22,True,False,False,
2303.TW,2026-05-22,2026-05-22,True,False,False,
2305.TW,2026-05-22,2026-05-22,True,False,False,
2308.TW,2026-05-22,2026-05-22,True,False,False,
2312.TW,2026-05-22,2026-05-22,True,False,False,
2313.TW,2026-05-22,2026-05-22,True,False,False,
2314.TW,2026-05-22,2026-05-22,True,False,False,
2316.TW,2026-05-22,2026-05-22,True,False,False,
2317.TW,2026-05-22,2026-05-22,True,False,False,
2321.TW,2026-05-22,2026-05-22,True,False,False,
2323.TW,2026-05-22,2026-05-22,True,False,False,
2324.TW,2026-05-22,2026-05-22,True,False,False,
2327.TW,2026-05-22,2026-05-22,True,False,False,
2328.TW,2026-05-22,2026-05-22,True,False,False,
2329.TW,2026-05-22,2026-05-22,True,False,False,
2330.TW,2026-05-22,2026-05-22,True,False,False,
2331.TW,2026-05-22,2026-05-22,True,False,False,
2332.TW,2026-05-22,2026-05-22,True,False,False,
2337.TW,2026-05-22,2026-05-22,True,False,False,
2338.TW,2026-05-22,2026-05-22,True,False,False,
2340.TW,2026-05-22,2026-05-22,True,False,False,
2342.TW,2026-05-22,2026-05-22,True,False,False,
2344.TW,2026-05-22,2026-05-22,True,False,False,
2345.TW,2026-05-22,2026-05-22,True,False,False,
2347.TW,2026-05-22,2026-05-22,True,False,False,
2349.TW,2026-05-22,2026-05-22,True,False,False,
2351.TW,2026-05-22,2026-05-22,True,False,False,
2352.TW,2026-05-22,2026-05-22,True,False,False,
2353.TW,2026-05-22,2026-05-22,True,False,False,
2354.TW,2026-05-22,2026-05-22,True,False,False,
2355.TW,2026-05-22,2026-05-22,True,False,False,
2356.TW,2026-05-22,2026-05-22,True,False,False,
2357.TW,2026-05-22,2026-05-22,True,False,False,
2359.TW,2026-05-22,2026-05-22,True,False,False,
2360.TW,2026-05-22,2026-05-22,True,False,False,
2362.TW,2026-05-22,2026-05-22,True,False,False,
2363.TW,2026-05-22,2026-05-22,True,False,False,
2364.TW,2026-05-22,2026-05-22,True,False,False,
2365.TW,2026-05-22,2026-05-22,True,False,False,
2367.TW,2026-05-22,2026-05-22,True,False,False,
2368.TW,2026-05-22,2026-05-22,True,False,False,
2369.TW,2026-05-22,2026-05-22,True,False,False,
2373.TW,2026-05-22,2026-05-22,True,False,False,
2374.TW,2026-05-22,2026-05-22,True,False,False,
2375.TW,2026-05-22,2026-05-22,True,False,False,
2376.TW,2026-05-22,2026-05-22,True,False,False,
2377.TW,2026-05-22,2026-05-22,True,False,False,
2379.TW,2026-05-22,2026-05-22,True,False,False,
2380.TW,2026-05-22,2026-05-22,True,False,False,
2382.TW,2026-05-22,2026-05-22,True,False,False,
2383.TW,2026-05-22,2026-05-22,True,False,False,
2385.TW,2026-05-22,2026-05-22,True,False,False,
2387.TW,2026-05-22,2026-05-22,True,False,False,
2388.TW,2026-05-22,2026-05-22,True,False,False,
2390.TW,2026-05-22,2026-05-22,True,False,False,
2392.TW,2026-05-22,2026-05-22,True,False,False,
2393.TW,2026-05-22,2026-05-22,True,False,False,
2395.TW,2026-05-22,2026-05-22,True,False,False,
2397.TW,2026-05-22,2026-05-22,True,False,False,
2399.TW,2026-05-22,2026-05-22,True,False,False,
2401.TW,2026-05-22,2026-05-22,True,False,False,
2402.TW,2026-05-22,2026-05-22,True,False,False,
2404.TW,2026-05-22,2026-05-22,True,False,False,
2405.TW,2026-05-22,2026-05-22,True,False,False,
2406.TW,2026-05-22,2026-05-22,True,False,False,
2408.TW,2026-05-22,2026-05-22,True,False,False,
2409.TW,2026-05-22,2026-05-22,True,False,False,
2412.TW,2026-05-22,2026-05-22,True,False,False,
2413.TW,2026-05-22,2026-05-22,True,False,False,
2414.TW,2026-05-22,2026-05-22,True,False,False,
2415.TW,2026-05-22,2026-05-22,True,False,False,
2417.TW,2026-05-22,2026-05-22,True,False,False,
2419.TW,2026-05-22,2026-05-22,True,False,False,
2420.TW,2026-05-22,2026-05-22,True,False,False,
2421.TW,2026-05-22,2026-05-22,True,False,False,
2423.TW,2026-05-22,2026-05-22,True,False,False,
2424.TW,2026-05-22,2026-05-22,True,False,False,
2425.TW,2026-05-22,2026-05-22,True,False,False,
2426.TW,2026-05-22,2026-05-22,True,False,False,
2427.TW,2026-05-22,2026-05-22,True,False,False,
2428.TW,2026-05-22,2026-05-22,True,False,False,
2429.TW,2026-05-22,2026-05-22,True,False,False,
2430.TW,2026-05-22,2026-05-22,True,False,False,
2431.TW,2026-05-22,2026-05-22,True,False,False,
2432.TW,2026-05-22,2026-05-22,True,False,False,
2433.TW,2026-05-22,2026-05-22,True,False,False,
2434.TW,2026-05-22,2026-05-22,True,False,False,
2436.TW,2026-05-22,2026-05-22,True,False,False,
2438.TW,2026-05-22,2026-05-22,True,False,False,
2439.TW,2026-05-22,2026-05-22,True,False,False,
2440.TW,2026-05-22,2026-05-22,True,False,False,
2441.TW,2026-05-22,2026-05-22,True,False,False,
2444.TW,2026-05-22,2026-05-22,True,False,False,
2449.TW,2026-05-22,2026-05-22,True,False,False,
2450.TW,2026-05-22,2026-05-22,True,False,False,
2451.TW,2026-05-22,2026-05-22,True,False,False,
2453.TW,2026-05-22,2026-05-22,True,False,False,
2454.TW,2026-05-22,2026-05-22,True,False,False,
2455.TW,2026-05-22,2026-05-22,True,False,False,
2457.TW,2026-05-22,2026-05-22,True,False,False,
2458.TW,2026-05-22,2026-05-22,True,False,False,
2459.TW,2026-05-22,2026-05-22,True,False,False,
2460.TW,2026-05-22,2026-05-22,True,False,False,
2461.TW,2026-05-22,2026-05-22,True,False,False,
2462.TW,2026-05-22,2026-05-22,True,False,False,
2464.TW,2026-05-22,2026-05-22,True,False,False,
2465.TW,2026-05-22,2026-05-22,True,False,False,
2466.TW,2026-05-22,2026-05-22,True,False,False,
2467.TW,2026-05-22,2026-05-22,True,False,False,
2468.TW,2026-05-22,2026-05-22,True,False,False,
2471.TW,2026-05-22,2026-05-22,True,False,False,
2472.TW,2026-05-22,2026-05-22,True,False,False,
2474.TW,2026-05-22,2026-05-22,True,False,False,
2476.TW,2026-05-22,2026-05-22,True,False,False,
2477.TW,2026-05-22,2026-05-22,True,False,False,
2478.TW,2026-05-22,2026-05-22,True,False,False,
2480.TW,2026-05-22,2026-05-22,True,False,False,
2481.TW,2026-05-22,2026-05-22,True,False,False,
2482.TW,2026-05-22,2026-05-22,True,False,False,
2483.TW,2026-05-22,2026-05-22,True,False,False,
2484.TW,2026-05-22,2026-05-22,True,False,False,
2485.TW,2026-05-22,2026-05-22,True,False,False,
2486.TW,2026-05-22,2026-05-22,True,False,False,
2488.TW,2026-05-22,2026-05-22,True,False,False,
2489.TW,2026-05-22,2026-05-22,True,False,False,
2491.TW,2026-05-22,2026-05-22,True,False,False,
2492.TW,2026-05-22,2026-05-22,True,False,False,
2493.TW,2026-05-22,2026-05-22,True,False,False,
2495.TW,2026-05-22,2026-05-22,True,False,False,
2498.TW,2026-05-22,2026-05-22,True,False,False,
2504.TW,2026-05-22,2026-05-22,True,False,False,
2603.TW,2026-05-22,2026-05-22,True,False,False,
2606.TW,2026-05-22,2026-05-22,True,False,False,
2609.TW,2026-05-22,2026-05-22,True,False,False,
2618.TW,2026-05-22,2026-05-22,True,False,False,
2637.TW,2026-05-22,2026-05-22,True,False,False,
2640.TW,2026-05-22,2026-05-22,True,False,False,
2645.TW,2026-05-22,2026-05-22,True,False,False,
2880.TW,2026-05-22,2026-05-22,True,False,False,
2881.TW,2026-05-22,2026-05-22,True,False,False,
2882.TW,2026-05-22,2026-05-22,True,False,False,
2883.TW,2026-05-22,2026-05-22,True,False,False,
2884.TW,2026-05-22,2026-05-22,True,False,False,
2885.TW,2026-05-22,2026-05-22,True,False,False,
2886.TW,2026-05-22,2026-05-22,True,False,False,
2887.TW,2026-05-22,2026-05-22,True,False,False,
2890.TW,2026-05-22,2026-05-22,True,False,False,
2891.TW,2026-05-22,2026-05-22,True,False,False,
2892.TW,2026-05-22,2026-05-22,True,False,False,
2949.TW,2026-05-22,2026-05-22,True,False,False,
3002.TW,2026-05-22,2026-05-22,True,False,False,
3003.TW,2026-05-22,2026-05-22,True,False,False,
3005.TW,2026-05-22,2026-05-22,True,False,False,
3006.TW,2026-05-22,2026-05-22,True,False,False,
3008.TW,2026-05-22,2026-05-22,True,False,False,
3010.TW,2026-05-22,2026-05-22,True,False,False,
3011.TW,2026-05-22,2026-05-22,True,False,False,
3013.TW,2026-05-22,2026-05-22,True,False,False,
3014.TW,2026-05-22,2026-05-22,True,False,False,
3015.TW,2026-05-22,2026-05-22,True,False,False,
3016.TW,2026-05-22,2026-05-22,True,False,False,
3017.TW,2026-05-22,2026-05-22,True,False,False,
3018.TW,2026-05-22,2026-05-22,True,False,False,
3019.TW,2026-05-22,2026-05-22,True,False,False,
3021.TW,2026-05-22,2026-05-22,True,False,False,
3022.TW,2026-05-22,2026-05-22,True,False,False,
3023.TW,2026-05-22,2026-05-21,False,False,False,
3024.TW,2026-05-22,2026-05-22,True,False,False,
3025.TW,2026-05-22,2026-05-22,True,False,False,
3026.TW,2026-05-22,2026-05-22,True,False,False,
3027.TW,2026-05-22,2026-05-22,True,False,False,
3028.TW,2026-05-22,2026-05-22,True,False,False,
3029.TW,2026-05-22,2026-05-22,True,False,False,
3030.TW,2026-05-22,2026-05-22,True,False,False,
3031.TW,2026-05-22,2026-05-22,True,False,False,
3032.TW,2026-05-22,2026-05-22,True,False,False,
3033.TW,2026-05-22,2026-05-22,True,False,False,
3034.TW,2026-05-22,2026-05-22,True,False,False,
